year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,result
2003,Notre Dame,Illinois,1,0,1,-0.025000000000000022,-1,1,-0.06299999999999994,220.0,4.663999999999987,31.0,189.0,-0.030999999999999972,34.0,67.0,0.014000000000000012,124.0,137.0,0.03500000000000003,61.0,1.6930000000000014,50.0,0.8350000000000009,111.0,2.527000000000001,-26.0,-1.429000000000002,21.0,0.45199999999999996,81.0,2.5119999999999996,2.0,-0.3569999999999993,-71.0,-2.907,0
2003,Illinois,Notre Dame,-1,0,-1,0.025000000000000022,1,-1,0.06299999999999994,-220.0,-4.663999999999987,-31.0,-189.0,0.030999999999999972,-34.0,-67.0,-0.014000000000000012,-124.0,-137.0,-0.03500000000000003,-61.0,-1.6930000000000014,-50.0,-0.8350000000000009,-111.0,-2.527000000000001,26.0,1.429000000000002,-21.0,-0.45199999999999996,-81.0,-2.5119999999999996,-2.0,0.3569999999999993,71.0,2.907,1
2003,Duke,Central Michigan,-8,-1,0,-0.006000000000000005,-3,1,-0.09000000000000008,45.0,4.096000000000004,7.0,206.0,-0.05299999999999999,7.0,68.0,-0.031000000000000028,24.0,92.0,-0.05500000000000005,62.0,2.3810000000000002,-6.0,0.5120000000000005,57.0,2.926000000000002,-66.0,-1.6829999999999998,36.0,1.4349999999999996,37.0,1.359,-117.0,-3.3249999999999993,12.0,1.0719999999999992,0
2003,Central Michigan,Duke,8,1,0,0.006000000000000005,3,-1,0.09000000000000008,-45.0,-4.096000000000004,-7.0,-206.0,0.05299999999999999,-7.0,-68.0,0.031000000000000028,-24.0,-92.0,0.05500000000000005,-62.0,-2.3810000000000002,6.0,-0.5120000000000005,-57.0,-2.926000000000002,66.0,1.6829999999999998,-36.0,-1.4349999999999996,-37.0,-1.359,117.0,3.3249999999999993,-12.0,-1.0719999999999992,1
2003,Kansas,Arizona State,-8,6,-5,0.17300000000000004,3,-5,0.264,346.0,8.683999999999997,159.0,298.0,0.008000000000000007,34.0,79.0,0.018000000000000016,-6.0,-8.0,-0.0010000000000000009,59.0,1.5249999999999986,183.0,5.194000000000003,241.0,6.686999999999998,72.0,1.8100000000000005,166.0,5.184,33.0,0.9249999999999998,55.0,1.327,-58.0,-2.4989999999999988,0
2003,Arizona State,Kansas,8,-6,5,-0.17300000000000004,-3,5,-0.264,-346.0,-8.683999999999997,-159.0,-298.0,-0.008000000000000007,-34.0,-79.0,-0.018000000000000016,6.0,8.0,0.0010000000000000009,-59.0,-1.5249999999999986,-183.0,-5.194000000000003,-241.0,-6.686999999999998,-72.0,-1.8100000000000005,-166.0,-5.184,-33.0,-0.9249999999999998,-55.0,-1.327,58.0,2.4989999999999988,1
2003,Arizona,Notre Dame,-4,2,-5,0.15100000000000002,7,-5,0.31899999999999995,-97.0,5.117000000000004,7.0,-40.0,0.013000000000000012,-60.0,-111.0,-0.03200000000000003,-47.0,-8.0,-0.05900000000000005,84.0,4.094999999999999,-21.0,1.9250000000000007,63.0,6.019999999999996,-30.0,0.7360000000000007,9.0,1.1189999999999998,-57.0,-1.4309999999999992,18.0,2.0039999999999996,-6.0,1.524000000000001,0
2003,Notre Dame,Arizona,4,-2,5,-0.15100000000000002,-7,5,-0.31899999999999995,97.0,-5.117000000000004,-7.0,40.0,-0.013000000000000012,60.0,111.0,0.03200000000000003,47.0,8.0,0.05900000000000005,-84.0,-4.094999999999999,21.0,-1.9250000000000007,-63.0,-6.019999999999996,30.0,-0.7360000000000007,-9.0,-1.1189999999999998,57.0,1.4309999999999992,-18.0,-2.0039999999999996,6.0,-1.524000000000001,1
2003,Kansas,Duke,-1,1,0,0.006000000000000005,3,-3,0.18700000000000006,191.0,3.516999999999996,166.0,197.0,0.03799999999999998,-65.0,-164.0,-0.014999999999999958,-76.0,-63.0,-0.039999999999999925,57.0,1.4579999999999984,186.0,5.2940000000000005,241.0,6.686999999999998,134.0,3.8770000000000007,70.0,1.984,9.0,0.125,53.0,1.261000000000001,-111.0,-4.265000000000001,0
2003,Duke,Kansas,1,-1,0,-0.006000000000000005,-3,3,-0.18700000000000006,-191.0,-3.516999999999996,-166.0,-197.0,-0.03799999999999998,65.0,164.0,0.014999999999999958,76.0,63.0,0.039999999999999925,-57.0,-1.4579999999999984,-186.0,-5.2940000000000005,-241.0,-6.686999999999998,-134.0,-3.8770000000000007,-70.0,-1.984,-9.0,-0.125,-53.0,-1.261000000000001,111.0,4.265000000000001,1
